,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of  women executive board members,% women over total executive board members,Total number of proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,%  women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Acciona,12,4,0.333333333333333,2,0,0,2,0,0,8,4,0.5,0,0,,45,11,0.244444444444444
1,Acerinox,12,4,0.333333333333333,1,0,0,3,0,0,8,4,0.5,0,0,,9,0,0
2,Grupo ACS,15,3,0.2,3,0,0,3,1,0.333333333333333,5,2,0.4,4,0,0,27,4,0.148148148148148
3,Aena,15,4,0.266666666666667,2,0,0,7,2,0.285714285714286,6,2,0.333333333333333,0,0,,9,5,0.555555555555556
4,Almirall,13,4,0.307692307692308,1,0,0,3,0,0,8,4,0.5,1,0,0,10,1,0.1
5,Amadeus,12,5,0.416666666666667,1,0,0,0,0,,10,5,0.5,1,0,0,8,1,0.125
6,BBVA,15,5,0.333333333333333,2,0,0,0,0,,10,4,0.4,3,1,0.333333333333333,16,4,0.25
7,Banco Sabadell,15,4,0.266666666666667,2,0,0,1,0,0,10,3,0.3,2,1,0.5,9,2,0.222222222222222
8,Banco Santander,15,6,0.4,2,1,0.5,0,0,,10,5,0.5,3,0,0,15,3,0.2
9,Bankinter,11,5,0.454545454545455,2,1,0.5,2,0,0,6,4,0.666666666666667,1,0,0,8,3,0.375
10,Caixabank,15,6,0.4,2,0,0,3,1,0.333333333333333,9,5,0.555555555555556,1,0,0,13,2,0.153846153846154
11,Cellnex Telecom,11,5,0.454545454545455,1,0,0,2,1,0.5,8,4,0.5,0,0,,8,1,0.125
12,CIE Automotive,13,5,0.384615384615385,2,0,0,8,2,0.25,3,3,1,0,0,,9,4,0.444444444444444
13,Enagas,15,5,0.333333333333333,2,0,0,2,0,0,11,5,0.454545454545455,0,0,,11,3,0.272727272727273
14,Endesa,11,4,0.363636363636364,1,0,0,4,1,0.25,6,3,0.5,0,0,,16,2,0.125
15,Ferrovial,12,4,0.333333333333333,2,0,0,1,1,1,8,3,0.375,1,0,0,13,1,0.0769230769230769
16,Fluidra,12,2,0.166666666666667,2,0,0,5,0,0,5,2,0.4,0,0,,9,1,0.111111111111111
17,Grifols,12,4,0.333333333333333,2,0,0,1,0,0,7,4,0.571428571428571,2,0,0,23,3,0.130434782608696
18,Iberdrola,14,6,0.428571428571429,1,0,0,0,0,,11,6,0.545454545454545,2,0,0,11,3,0.272727272727273
19,Indra,12,5,0.416666666666667,2,1,0.5,2,0,0,7,4,0.571428571428571,1,0,0,11,2,0.181818181818182
20,Inditex,11,4,0.363636363636364,2,0,0,3,1,0.333333333333333,6,3,0.5,0,0,,23,6,0.260869565217391
21,Inmobiliaria Colonial,11,3,0.272727272727273,2,0,0,5,0,0,4,3,0.75,0,0,,5,2,0.4
22,IAG,12,5,0.416666666666667,1,0,0,2,0,0,9,5,0.555555555555556,0,0,,11,2,0.181818181818182
23,Rovi,6,1,0.166666666666667,3,0,0,0,0,,3,1,0.333333333333333,0,0,,10,4,0.4
24,Mapfre,15,5,0.333333333333333,5,0,0,3,0,0,7,5,0.714285714285714,0,0,,9,4,0.444444444444444
25,Melia Hotels,11,4,0.363636363636364,1,0,0,4,1,0.25,6,3,0.5,0,0,,6,1,0.166666666666667
26,Merlin Properties,13,5,0.384615384615385,2,0,0,4,2,0.5,7,3,0.428571428571429,0,0,,8,1,0.125
27,Naturgy,12,3,0.25,1,0,0,6,2,0.333333333333333,5,1,0.2,0,0,,9,0,0
28,Pharma Mar,11,4,0.363636363636364,2,0,0,2,2,1,4,1,0.25,3,1,0.333333333333333,8,3,0.375
29,Red Electrica,12,6,0.5,1,0,0,3,2,0.666666666666667,7,3,0.428571428571429,1,1,1,12,6,0.5
30,Repsol,14,5,0.357142857142857,1,0,0,1,0,0,8,5,0.625,4,0,0,10,3,0.3
31,Siemens Gamesa,10,3,0.3,1,0,0,5,2,0.4,4,1,0.25,0,0,,7,1,0.142857142857143
32,Solaria,6,1,0.166666666666667,2,0,0,1,0,0,2,1,0.5,1,0,0,6,0,0
33,Telefonica,15,5,0.333333333333333,2,0,0,2,0,0,9,5,0.555555555555556,2,0,0,5,1,0.2
